run,accuracy,features,num_features,feature_set,stability,feature_set_name
31,42,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Trans_Amt', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Trans_Amt', 'marital_Status')",27.500000000000004,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Trans_Amt, marital_Status"
32,28,"['Dependent_count', 'card_Category', 'education_Level', 'marital_Status']",4,"('Dependent_count', 'card_Category', 'education_Level', 'marital_Status')",40.5,"Dependent_count, card_Category, education_Level, marital_Status"
33,56,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category', 'marital_Status')",44.8,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, income_Category, marital_Status"
34,52,"['Avg_Utilization_Ratio', 'Customer_Age', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Customer_Age', 'card_Category', 'education_Level', 'income_Category')",50.0,"Avg_Utilization_Ratio, Customer_Age, card_Category, education_Level, income_Category"
35,43,"['Total_Trans_Amt', 'education_Level', 'income_Category']",3,"('Total_Trans_Amt', 'education_Level', 'income_Category')",55.333333333333336,"Total_Trans_Amt, education_Level, income_Category"
36,74,"['CLIENTNUM', 'card_Category', 'income_Category', 'marital_Status']",4,"('CLIENTNUM', 'card_Category', 'income_Category', 'marital_Status')",48.0,"CLIENTNUM, card_Category, income_Category, marital_Status"
37,56,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",65.33333333333333,"card_Category, education_Level, income_Category"
38,67,"['card_Category', 'income_Category']",2,"('card_Category', 'income_Category')",63.0,"card_Category, income_Category"
39,-12,"['CLIENTNUM', 'Months_Inactive_12_mon', 'card_Category', 'education_Level', 'marital_Status']",5,"('CLIENTNUM', 'Months_Inactive_12_mon', 'card_Category', 'education_Level', 'marital_Status')",36.4,"CLIENTNUM, Months_Inactive_12_mon, card_Category, education_Level, marital_Status"
40,80,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",53.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
