run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
14,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036),Avg_Utilization_Ratio > 0.036,12,49,1,2,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036)
14,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036) AND (education_Level == Graduate),education_Level == Graduate,4,42,2,3,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036) AND (education_Level == Graduate)
14,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036) AND (education_Level == Unknown),education_Level == Unknown,4,37,2,3,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036) AND (education_Level == Unknown)
14,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio <= 0.036),Avg_Utilization_Ratio <= 0.036,6,-46,1,2,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio <= 0.036)
14,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio <= 0.036) AND (education_Level == Doctorate),education_Level == Doctorate,3,-28,2,3,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio <= 0.036) AND (education_Level == Doctorate)
14,(Avg_Utilization_Ratio > 0.138),Avg_Utilization_Ratio > 0.138,12,-26,0,1,(Avg_Utilization_Ratio > 0.138)
14,(Avg_Utilization_Ratio > 0.138) AND (income_Category == Less than $40K),income_Category == Less than $40K,3,-35,1,2,(Avg_Utilization_Ratio > 0.138) AND (income_Category == Less than $40K)
14,(Avg_Utilization_Ratio > 0.138) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,4,-37,1,2,(Avg_Utilization_Ratio > 0.138) AND (income_Category == $40K - $60K)
15,(Avg_Utilization_Ratio <= 0.125),Avg_Utilization_Ratio <= 0.125,15,16,0,1,(Avg_Utilization_Ratio <= 0.125)
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,9,43,1,2,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0)
