run,accuracy,features,num_features,feature_set,stability,feature_set_name
41,54,"['Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category']",4,"('Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category')",2.0,"Customer_Age, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category"
42,58,[],0,(),2.0,
43,37,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",6.0,"Avg_Utilization_Ratio, education_Level, income_Category"
44,64,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",4.0,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
45,52,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",4.0,"card_Category, education_Level, income_Category, marital_Status"
46,63,"['card_Category', 'income_Category', 'marital_Status']",3,"('card_Category', 'income_Category', 'marital_Status')",4.0,"card_Category, income_Category, marital_Status"
47,72,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'Months_on_book', 'Total_Trans_Amt', 'attrition_Flag', 'education_Level']",6,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'Months_on_book', 'Total_Trans_Amt', 'attrition_Flag', 'education_Level')",2.0,"Avg_Utilization_Ratio, CLIENTNUM, Months_on_book, Total_Trans_Amt, attrition_Flag, education_Level"
48,26,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'income_Category', 'marital_Status')",2.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, income_Category, marital_Status"
49,68,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'income_Category')",2.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, Total_Trans_Ct, income_Category"
50,71,"['Customer_Age', 'Total_Trans_Ct', 'card_Category', 'income_Category']",4,"('Customer_Age', 'Total_Trans_Ct', 'card_Category', 'income_Category')",2.0,"Customer_Age, Total_Trans_Ct, card_Category, income_Category"
