run,accuracy,features,num_features,feature_set,stability,feature_set_name
34,55,"['Total_Trans_Amt', 'education_Level', 'income_Category']",3,"('Total_Trans_Amt', 'education_Level', 'income_Category')",56.666666666666664,"Total_Trans_Amt, education_Level, income_Category"
35,66,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",56.49999999999999,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
36,70,"['card_Category', 'income_Category']",2,"('card_Category', 'income_Category')",56.00000000000001,"card_Category, income_Category"
37,67,"['Customer_Age', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'education_Level']",4,"('Customer_Age', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'education_Level')",27.0,"Customer_Age, Total_Amt_Chng_Q4_Q1, Total_Trans_Ct, education_Level"
38,37,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",62.66666666666666,"card_Category, education_Level, income_Category"
39,24,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",62.66666666666666,"card_Category, education_Level, income_Category"
40,50,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'income_Category', 'marital_Status')",48.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, income_Category, marital_Status"
41,64,"['Total_Relationship_Count', 'card_Category', 'education_Level', 'income_Category']",4,"('Total_Relationship_Count', 'card_Category', 'education_Level', 'income_Category')",48.5,"Total_Relationship_Count, card_Category, education_Level, income_Category"
42,19,"['Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",6,"('Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",44.0,"Total_Amt_Chng_Q4_Q1, Total_Trans_Amt, card_Category, education_Level, income_Category, marital_Status"
43,61,"['Avg_Utilization_Ratio', 'Total_Trans_Ct', 'card_Category', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Total_Trans_Ct', 'card_Category', 'income_Category', 'marital_Status')",40.8,"Avg_Utilization_Ratio, Total_Trans_Ct, card_Category, income_Category, marital_Status"
44,71,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",61.5,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
45,30,"['Avg_Utilization_Ratio', 'education_Level', 'gender', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'education_Level', 'gender', 'income_Category', 'marital_Status')",51.6,"Avg_Utilization_Ratio, education_Level, gender, income_Category, marital_Status"
46,33,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category', 'marital_Status')",53.6,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category, marital_Status"
47,52,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category']",3,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category')",55.333333333333336,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category"
48,22,"['CLIENTNUM', 'card_Category', 'income_Category']",3,"('CLIENTNUM', 'card_Category', 'income_Category')",40.0,"CLIENTNUM, card_Category, income_Category"
49,24,"['CLIENTNUM', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'income_Category']",4,"('CLIENTNUM', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'income_Category')",35.5,"CLIENTNUM, Total_Amt_Chng_Q4_Q1, card_Category, income_Category"
50,42,"['Total_Amt_Chng_Q4_Q1', 'income_Category', 'marital_Status']",3,"('Total_Amt_Chng_Q4_Q1', 'income_Category', 'marital_Status')",48.666666666666664,"Total_Amt_Chng_Q4_Q1, income_Category, marital_Status"
