run,accuracy,features,num_features,feature_set,stability,feature_set_name
21,85,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'education_Level', 'income_Category')",45.6,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, Total_Trans_Amt, education_Level, income_Category"
22,57,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",49.333333333333336,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, income_Category, marital_Status"
23,68,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'card_Category', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'card_Category', 'income_Category')",49.0,"Avg_Utilization_Ratio, Total_Trans_Amt, card_Category, income_Category"
24,56,"['Avg_Utilization_Ratio', 'Contacts_Count_12_mon', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Contacts_Count_12_mon', 'education_Level', 'income_Category', 'marital_Status')",48.4,"Avg_Utilization_Ratio, Contacts_Count_12_mon, education_Level, income_Category, marital_Status"
25,75,"['Total_Trans_Amt', 'card_Category', 'education_Level', 'income_Category']",4,"('Total_Trans_Amt', 'card_Category', 'education_Level', 'income_Category')",55.00000000000001,"Total_Trans_Amt, card_Category, education_Level, income_Category"
26,51,"['Customer_Age', 'income_Category']",2,"('Customer_Age', 'income_Category')",51.0,"Customer_Age, income_Category"
27,37,"['Avg_Utilization_Ratio', 'attrition_Flag', 'income_Category']",3,"('Avg_Utilization_Ratio', 'attrition_Flag', 'income_Category')",51.33333333333333,"Avg_Utilization_Ratio, attrition_Flag, income_Category"
28,64,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",52.800000000000004,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
29,70,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",67.33333333333333,"card_Category, education_Level, income_Category"
30,40,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",52.800000000000004,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
31,50,"['card_Category', 'income_Category']",2,"('card_Category', 'income_Category')",69.0,"card_Category, income_Category"
32,64,"['Avg_Utilization_Ratio', 'income_Category']",2,"('Avg_Utilization_Ratio', 'income_Category')",67.0,"Avg_Utilization_Ratio, income_Category"
33,41,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status']",7,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status')",40.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Amt_Chng_Q4_Q1, attrition_Flag, education_Level, income_Category, marital_Status"
34,72,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",61.0,"card_Category, education_Level, income_Category, marital_Status"
35,67,"['Total_Trans_Amt', 'income_Category']",2,"('Total_Trans_Amt', 'income_Category')",56.00000000000001,"Total_Trans_Amt, income_Category"
36,7,"['attrition_Flag', 'card_Category', 'education_Level', 'marital_Status']",4,"('attrition_Flag', 'card_Category', 'education_Level', 'marital_Status')",42.5,"attrition_Flag, card_Category, education_Level, marital_Status"
37,45,"['Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",3,"('Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",56.666666666666664,"Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
38,66,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",6,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",44.333333333333336,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, income_Category, marital_Status"
39,59,"['Avg_Utilization_Ratio', 'Total_Relationship_Count', 'Total_Trans_Amt', 'education_Level']",4,"('Avg_Utilization_Ratio', 'Total_Relationship_Count', 'Total_Trans_Amt', 'education_Level')",33.5,"Avg_Utilization_Ratio, Total_Relationship_Count, Total_Trans_Amt, education_Level"
40,42,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
41,40,"['Avg_Utilization_Ratio', 'Customer_Age', 'Total_Relationship_Count', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Customer_Age', 'Total_Relationship_Count', 'income_Category', 'marital_Status')",39.2,"Avg_Utilization_Ratio, Customer_Age, Total_Relationship_Count, income_Category, marital_Status"
42,65,"['attrition_Flag', 'income_Category']",2,"('attrition_Flag', 'income_Category')",56.99999999999999,"attrition_Flag, income_Category"
43,60,"['Avg_Utilization_Ratio', 'Months_on_book', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Months_on_book', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",48.333333333333336,"Avg_Utilization_Ratio, Months_on_book, card_Category, education_Level, income_Category, marital_Status"
44,68,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",60.0,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
45,54,"['Customer_Age', 'Total_Trans_Ct', 'card_Category', 'education_Level', 'income_Category']",5,"('Customer_Age', 'Total_Trans_Ct', 'card_Category', 'education_Level', 'income_Category')",42.4,"Customer_Age, Total_Trans_Ct, card_Category, education_Level, income_Category"
46,60,"['Avg_Utilization_Ratio', 'attrition_Flag', 'income_Category']",3,"('Avg_Utilization_Ratio', 'attrition_Flag', 'income_Category')",51.33333333333333,"Avg_Utilization_Ratio, attrition_Flag, income_Category"
47,15,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",61.0,"card_Category, education_Level, income_Category, marital_Status"
48,57,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
49,4,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",52.800000000000004,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
50,59,"['CLIENTNUM', 'Dependent_count', 'Months_Inactive_12_mon', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Relationship_Count', 'income_Category', 'marital_Status']",7,"('CLIENTNUM', 'Dependent_count', 'Months_Inactive_12_mon', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Relationship_Count', 'income_Category', 'marital_Status')",24.285714285714285,"CLIENTNUM, Dependent_count, Months_Inactive_12_mon, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Relationship_Count, income_Category, marital_Status"
