run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
46,(income_Category == $80K - $120K) AND (education_Level == College),education_Level == College,3,10,1,2,(income_Category == $80K - $120K) AND (education_Level == College)
46,(income_Category == $80K - $120K) AND (education_Level == Unknown),education_Level == Unknown,3,9,1,2,(income_Category == $80K - $120K) AND (education_Level == Unknown)
46,(income_Category == $60K - $80K) AND (education_Level == High School),education_Level == High School,3,-20,1,2,(income_Category == $60K - $80K) AND (education_Level == High School)
46,(income_Category == Less than $40K) AND (Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,3,-23,1,2,(income_Category == Less than $40K) AND (Avg_Utilization_Ratio > 0)
46,(income_Category == Less than $40K) AND (Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,3,-63,1,2,(income_Category == Less than $40K) AND (Avg_Utilization_Ratio <= 0)
47,(marital_Status == Married),marital_Status == Married,17,5,0,1,(marital_Status == Married)
47,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173),Avg_Utilization_Ratio <= 0.173,11,19,1,2,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173)
47,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173) AND (Total_Relationship_Count <= 3),Total_Relationship_Count <= 3,6,41,2,3,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173) AND (Total_Relationship_Count <= 3)
47,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173) AND (Total_Relationship_Count <= 3) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,3,43,3,4,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173) AND (Total_Relationship_Count <= 3) AND (income_Category == $80K - $120K)
47,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173) AND (Total_Relationship_Count > 3),Total_Relationship_Count > 3,5,-5,2,3,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0.173) AND (Total_Relationship_Count > 3)
47,(marital_Status == Married) AND (Avg_Utilization_Ratio > 0.173),Avg_Utilization_Ratio > 0.173,6,-19,1,2,(marital_Status == Married) AND (Avg_Utilization_Ratio > 0.173)
47,(marital_Status == Married) AND (Avg_Utilization_Ratio > 0.173) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,3,-18,2,3,(marital_Status == Married) AND (Avg_Utilization_Ratio > 0.173) AND (income_Category == $60K - $80K)
47,(marital_Status == Divorced),marital_Status == Divorced,3,-7,0,1,(marital_Status == Divorced)
47,(marital_Status == Single),marital_Status == Single,9,-19,0,1,(marital_Status == Single)
47,(marital_Status == Single) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,3,-3,1,2,(marital_Status == Single) AND (income_Category == $40K - $60K)
48,(Avg_Utilization_Ratio <= 0.105),Avg_Utilization_Ratio <= 0.105,12,16,0,1,(Avg_Utilization_Ratio <= 0.105)
48,(Avg_Utilization_Ratio <= 0.105) AND (income_Category == $120K +),income_Category == $120K +,3,53,1,2,(Avg_Utilization_Ratio <= 0.105) AND (income_Category == $120K +)
48,(Avg_Utilization_Ratio <= 0.105) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,3,-16,1,2,(Avg_Utilization_Ratio <= 0.105) AND (income_Category == $40K - $60K)
48,(Avg_Utilization_Ratio > 0.105),Avg_Utilization_Ratio > 0.105,18,-11,0,1,(Avg_Utilization_Ratio > 0.105)
48,(Avg_Utilization_Ratio > 0.105) AND (education_Level == College),education_Level == College,4,0,1,2,(Avg_Utilization_Ratio > 0.105) AND (education_Level == College)
48,(Avg_Utilization_Ratio > 0.105) AND (education_Level == High School),education_Level == High School,6,-5,1,2,(Avg_Utilization_Ratio > 0.105) AND (education_Level == High School)
