run,accuracy,features,num_features,feature_set,stability,feature_set_name
41,67,"['Avg_Utilization_Ratio', 'card_Category', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'card_Category', 'income_Category', 'marital_Status')",56.00000000000001,"Avg_Utilization_Ratio, card_Category, income_Category, marital_Status"
42,98,"['Avg_Utilization_Ratio', 'Total_Relationship_Count', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Total_Relationship_Count', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')",41.666666666666664,"Avg_Utilization_Ratio, Total_Relationship_Count, attrition_Flag, card_Category, income_Category, marital_Status"
43,74,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",56.00000000000001,"Avg_Utilization_Ratio, education_Level"
44,63,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",51.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
45,45,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
46,64,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",64.66666666666667,"Avg_Utilization_Ratio, education_Level, income_Category"
47,68,"['CLIENTNUM', 'Customer_Age', 'Months_Inactive_12_mon', 'attrition_Flag', 'card_Category', 'income_Category']",6,"('CLIENTNUM', 'Customer_Age', 'Months_Inactive_12_mon', 'attrition_Flag', 'card_Category', 'income_Category')",28.000000000000004,"CLIENTNUM, Customer_Age, Months_Inactive_12_mon, attrition_Flag, card_Category, income_Category"
48,63,"['card_Category', 'income_Category']",2,"('card_Category', 'income_Category')",64.0,"card_Category, income_Category"
49,58,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",64.66666666666667,"Avg_Utilization_Ratio, education_Level, income_Category"
50,62,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category')",47.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, income_Category"
