run,accuracy,features,num_features,feature_set,stability,feature_set_name
28,60,"['Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category', 'marital_Status')",50.8,"Avg_Utilization_Ratio, Dependent_count, education_Level, income_Category, marital_Status"
29,58,"['Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'attrition_Flag', 'education_Level', 'income_Category']",5,"('Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'attrition_Flag', 'education_Level', 'income_Category')",40.0,"Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, attrition_Flag, education_Level, income_Category"
30,18,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'income_Category']",3,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'income_Category')",48.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, income_Category"
31,63,"['Avg_Utilization_Ratio', 'income_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'income_Category', 'marital_Status')",57.333333333333336,"Avg_Utilization_Ratio, income_Category, marital_Status"
32,3,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",62.0,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
33,57,"['Total_Trans_Amt', 'education_Level', 'gender', 'income_Category', 'marital_Status']",5,"('Total_Trans_Amt', 'education_Level', 'gender', 'income_Category', 'marital_Status')",44.8,"Total_Trans_Amt, education_Level, gender, income_Category, marital_Status"
34,56,"['Total_Trans_Amt', 'attrition_Flag', 'gender', 'income_Category', 'marital_Status']",5,"('Total_Trans_Amt', 'attrition_Flag', 'gender', 'income_Category', 'marital_Status')",34.0,"Total_Trans_Amt, attrition_Flag, gender, income_Category, marital_Status"
35,50,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category']",3,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category')",56.666666666666664,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category"
36,5,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')",57.99999999999999,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
37,46,"['Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Amt_Chng_Q4_Q1', 'education_Level']",4,"('Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Amt_Chng_Q4_Q1', 'education_Level')",26.5,"Customer_Age, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Amt_Chng_Q4_Q1, education_Level"
38,30,"['CLIENTNUM', 'Months_on_book', 'Total_Relationship_Count', 'Total_Trans_Ct', 'education_Level', 'marital_Status']",6,"('CLIENTNUM', 'Months_on_book', 'Total_Relationship_Count', 'Total_Trans_Ct', 'education_Level', 'marital_Status')",25.0,"CLIENTNUM, Months_on_book, Total_Relationship_Count, Total_Trans_Ct, education_Level, marital_Status"
39,41,"['Customer_Age', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Customer_Age', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",45.6,"Customer_Age, card_Category, education_Level, income_Category, marital_Status"
40,62,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'marital_Status')",41.2,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, marital_Status"
41,55,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'gender', 'income_Category']",6,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'gender', 'income_Category')",43.333333333333336,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, gender, income_Category"
42,68,"['education_Level', 'gender', 'income_Category', 'marital_Status']",4,"('education_Level', 'gender', 'income_Category', 'marital_Status')",52.5,"education_Level, gender, income_Category, marital_Status"
43,8,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category')",55.00000000000001,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category"
44,54,"['Avg_Utilization_Ratio', 'Months_on_book', 'Total_Relationship_Count', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Months_on_book', 'Total_Relationship_Count', 'income_Category', 'marital_Status')",38.0,"Avg_Utilization_Ratio, Months_on_book, Total_Relationship_Count, income_Category, marital_Status"
45,40,"['Avg_Utilization_Ratio', 'Months_on_book', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Months_on_book', 'education_Level', 'income_Category')",55.00000000000001,"Avg_Utilization_Ratio, Months_on_book, education_Level, income_Category"
46,22,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",66.0,"education_Level, income_Category, marital_Status"
47,58,"['attrition_Flag', 'education_Level', 'income_Category']",3,"('attrition_Flag', 'education_Level', 'income_Category')",60.0,"attrition_Flag, education_Level, income_Category"
48,37,"['Avg_Utilization_Ratio', 'attrition_Flag', 'card_Category', 'education_Level']",4,"('Avg_Utilization_Ratio', 'attrition_Flag', 'card_Category', 'education_Level')",43.0,"Avg_Utilization_Ratio, attrition_Flag, card_Category, education_Level"
49,65,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",56.00000000000001,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
50,53,"['Avg_Utilization_Ratio', 'Dependent_count', 'Total_Trans_Ct', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Dependent_count', 'Total_Trans_Ct', 'income_Category')",36.0,"Avg_Utilization_Ratio, Dependent_count, Total_Trans_Ct, income_Category"
